No,Tipo,Entrada Precio,Entrada Hora,Salida Precio,Salida Hora,Razon,PnL USDT,Reentry
1,LONG,0.08787,6/2/2026, 0:55:00,0.08887,6/2/2026, 1:10:00,"Stop Loss (Elite: Breakeven+Tick)",0.4350,NO
2,LONG,0.08887,6/2/2026, 1:10:00,0.08696,6/2/2026, 2:10:00,"Signal Reversal",-0.8607,SI
3,SHORT,0.08697,6/2/2026, 2:05:00,0.08597,6/2/2026, 2:15:00,"Stop Loss (Elite: Breakeven+Tick)",0.4402,NO
4,SHORT,0.08597,6/2/2026, 2:15:00,0.08497,6/2/2026, 2:35:00,"Stop Loss (Elite: Breakeven+Tick)",0.4455,SI
5,SHORT,0.08497,6/2/2026, 2:35:00,0.08397,6/2/2026, 3:00:00,"Stop Loss (Elite: Breakeven+Tick)",0.4510,SI
6,SHORT,0.08397,6/2/2026, 3:00:00,0.08567,6/2/2026, 3:50:00,"Signal Reversal",-0.8108,SI
7,LONG,0.0857,6/2/2026, 3:45:00,0.0867,6/2/2026, 3:55:00,"Stop Loss (Elite: Breakeven+Tick)",0.4465,NO
8,LONG,0.0867,6/2/2026, 3:55:00,0.08457,6/2/2026, 5:10:00,"Signal Reversal",-0.9856,SI
9,SHORT,0.08451,6/2/2026, 5:05:00,0.08683,6/2/2026, 5:40:00,"Signal Reversal",-1.0991,NO
10,LONG,0.08683,6/2/2026, 5:35:00,0.08502,6/2/2026, 6:10:00,"Signal Reversal",-0.8348,NO
11,SHORT,0.08504,6/2/2026, 6:05:00,0.0868,6/2/2026, 6:55:00,"Signal Reversal",-0.8288,NO
12,LONG,0.08686,6/2/2026, 6:50:00,0.08786000000000001,6/2/2026, 9:00:00,"Stop Loss (Elite: Breakeven+Tick)",0.4383,NO
13,LONG,0.08786000000000001,6/2/2026, 9:00:00,0.08886000000000001,6/2/2026, 12:05:00,"Stop Loss (Elite: Breakeven+Tick)",0.4330,SI
14,LONG,0.08886000000000001,6/2/2026, 12:05:00,0.09028,6/2/2026, 12:15:00,"Stop Loss (Elite: Experimental)",0.6189,SI
15,LONG,0.09028,6/2/2026, 12:15:00,0.0883,6/2/2026, 14:10:00,"Signal Reversal",-0.8783,SI
16,SHORT,0.08836,6/2/2026, 14:05:00,0.08736,6/2/2026, 16:15:00,"Stop Loss (Elite: Breakeven+Tick)",0.4349,NO
17,SHORT,0.08736,6/2/2026, 16:15:00,0.08571,6/2/2026, 16:25:00,"Stop Loss (Elite: Experimental)",0.7359,SI
18,SHORT,0.08571,6/2/2026, 16:25:00,0.08671,6/2/2026, 18:30:00,"Signal Reversal",-0.4677,SI
19,LONG,0.08671,6/2/2026, 18:25:00,0.08771,6/2/2026, 18:35:00,"Stop Loss (Elite: Breakeven+Tick)",0.4411,NO
20,LONG,0.08771,6/2/2026, 18:35:00,0.08645,6/2/2026, 19:50:00,"Signal Reversal",-0.5756,SI
21,SHORT,0.08647,6/2/2026, 19:45:00,0.08547,6/2/2026, 20:45:00,"Stop Loss (Elite: Breakeven+Tick)",0.4448,NO
22,SHORT,0.08547,6/2/2026, 20:45:00,0.08569,6/2/2026, 23:05:00,"Force Close (End)",-0.1040,SI
